1,15,30,45
2,10,40,50
3,20,35,55
4,15,45,60
5,10,50,60
6,10,30,40
7,15,35,50
8,20,40,60
9,10,35,45
10,15,45,60
11,10,30,40
12,20,35,55
13,15,50,65
14,10,40,50
15,20,45,65
16,10,35,45
17,15,30,45
18,15,40,55
19,20,50,70
20,10,45,55
21,15,35,50
22,20,40,60
23,10,30,40
24,20,45,65
25,15,50,65
26,10,35,45
27,15,30,45
28,10,45,55
29,20,35,55
30,15,40,55
30,20,50,70
31,10,35,45
32,15,30,45
33,10,40,50
34,20,45,65
35,15,50,65
36,10,35,45
37,15,30,45
38,10,45,55
39,20,35,55
40,15,40,55
40,15,40,55
41,10,30,40
42,20,35,55
43,15,45,60
44,20,50,70
45,10,35,45
46,15,30,45
47,10,40,50
48,20,45,65
49,15,50,65
50,10,35,45
51,15,35,50
52,20,45,65
53,10,40,50
54,15,30,45
55,10,45,55
56,20,35,55
57,15,40,55
58,10,30,40
59,15,45,60
60,20,50,70
61,10,35,45
62,15,30,45
63,10,40,50
64,20,45,65
65,15,50,65
66,10,35,45
67,15,30,45
68,10,45,55
69,20,35,55
70,15,40,55
