1,1,5
2,2,4
3,3,3
4,4,5
5,5,4
6,6,3
7,7,5
8,8,4
9,9,3
10,10,5
11,11,4
12,12,3
13,13,5
14,14,4
15,15,3
16,16,5
17,17,4
18,18,3
19,19,5
20,20,4
21,21,3
22,22,5
23,23,4
24,24,3
25,25,5
26,26,4
27,27,3
28,28,5
29,29,4
30,30,3
31,31,5
32,32,4
33,33,3
34,34,5
35,35,4
36,36,3
37,37,5
38,38,4
39,39,3
40,40,5
41,1,4
42,2,3
43,3,5
44,4,4
45,5,3
46,6,5
47,7,4
48,8,3
49,9,5
50,10,4
51,11,3
52,12,5
53,13,4
54,14,3
55,15,5
56,16,4
57,17,3
58,18,5
59,19,4
60,20,3
61,21,4
62,22,3
63,23,5
64,24,4
65,25,3
66,26,5
67,27,4
68,28,3
69,29,5
70,30,4
71,31,3
72,32,5
73,33,4
74,34,3
75,35,5
76,36,4
77,37,3
78,38,5
79,39,4
80,40,3
81,1,4
82,2,3
83,3,5
84,4,4
85,5,3
86,6,5
87,7,4
88,8,3
89,9,5
90,10,4
91,11,3
92,12,5
93,13,4
94,14,3
95,15,5
96,16,4
97,17,3
98,18,5
99,19,4
100,20,3
1,2,5
2,3,4
3,3,3
4,2,5
1,1,5
7,7,7
3,3,3
4,2,5
3,3,3
2,3,4
1,2,5
2,3,4
