1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,1
52,2
53,3
54,4
55,5
56,6
57,7
58,8
59,9
60,10
61,11
62,12
63,13
64,14
65,15
66,16
67,17
68,18
69,19
70,20
71,21
72,22
73,23
74,24
75,25
76,26
77,27
78,28
79,29
80,30
81,1
82,2
83,3
84,4
85,5
86,6
87,7
88,8
89,9
90,10
91,11
92,12
93,13
94,14
95,15
96,16
97,17
98,18
99,19
100,20
1,71
1,71
